id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
3195,Gopalganj road crash death toll rises to 6,2019-07-29 20:52:13,https://en.prothomalo.com/bangladesh/Gopalganj-road-crash-death-toll-rises-to-6,vatiapara intersection,gopalganj,6,15,bus and truck,driver lost control over the steering and hit a stationary truck,Bangladesh,event,road accident
3201,Road crash claims four lives,2019-10-01 15:58:41,https://en.prothomalo.com/bangladesh/Road-claims-four-lives,chikashi of dhunat upazila,bogura,2,0,motorcycle,head-on collision,Bangladesh,event,road accident
3209,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-7,akbar shah,chattogram,2,4,"covered van, auto-rickshaw",covered van hit auto-rickshaw,Bangladesh,event,road accident
3210,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-6,akbar shah area,chattogram,2,4,"covered van, auto-rickshaw",collision between vehicles,Bangladesh,event,road accident
3211,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-5,akbar shah area,chattogram,2,4,"covered van, auto-rickshaw",covered van hit auto-rickshaw,Bangladesh,event,road accident
3212,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-4,akbar shah area,chattogram,2,4,"covered van, auto-rickshaw",covered van hit a cng run auto-rickshaw,Bangladesh,event,road accident
3213,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-3,akbar shah area,chattogram,2,4,"covered van, auto-rickshaw",covered van hit auto-rickshaw,Bangladesh,event,road accident
3214,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2-2,akbar shah area,chattogram,2,4,covered van and auto-rickshaw,covered van hit auto-rickshaw,Bangladesh,event,road accident
3215,Road crash kills 2,2019-05-29 11:22:22,https://en.prothomalo.com/bangladesh/Road-crash-kills-2,akbar shah area,chattogram,2,4,"covered van, auto-rickshaw",covered van hit auto-rickshaw,Bangladesh,event,road accident
3216,Road crash kills student,2019-03-27 13:26:46,,khilbaisa,lakshmipur,1,3,"motorcycle, auto-rickshaw",,Bangladesh,event,road accident
3217,Widow of Bangladeshi ship-breaking worker free to sue UK-based firm,2020-07-15 09:53:19,https://en.prothomalo.com/bangladesh/bangladesh-in-world-media/widow-of-bangladeshi-ship-breaking-worker-free-to-sue-uk-based-firm,chattogram,chattogram,1,0,oil tanker,fall while dismantling,Bangladesh,event,road accident
3219,Missing siblings found dead in Buriganga,2019-06-21 14:22:43,,buriganga river,sadarghat launch terminal,2,0,"boat, launch",boat capsize,Bangladesh,event,road accident
3220,"Death of Dia- Razib: Two drivers, an assistant jailed for life",2019-12-01 22:46:24,https://en.prothomalo.com/bangladesh/Death-of-Dia-Razib-2-drivers-an-assistant,dhaka,dhaka,2,0,,road accident,Bangladesh,event,road accident
3221,Road crashes kill 2 in Sirajganj,2019-05-10 18:29:52,https://en.prothomalo.com/bangladesh/Road-crashes-kill-2-in-Sirajganj,sirajganj sadar upazila,sirajganj,2,3,,,Bangladesh,event,road accident
3222,"Bus staff dies, 10 injured in city accident",2015-06-03 19:40:18,https://en.prothomalo.com/bangladesh/Bus-staff-dies-10-injured-in-city-accident,kazi nazrul islam avenue opposite the ca bhaban at karwanbazar,dhaka,1,10,bus,racing against another bus,Bangladesh,event,road accident
3225,"1 killed, 30 injured in Sylhet road crash",2019-06-04 19:43:28,https://en.prothomalo.com/bangladesh/1-killed-30-injured-in-Sylhet-road-crash,dhaka-sylhet highway in osmaninagar upazila,sylhet,1,30,bus,fell into a ditch,Bangladesh,event,road accident
3228,Road crash kills one,2019-03-26 08:46:41,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-5,shewrapara area of mirpur,dhaka,1,0,"bus, motor-cycle",bus hit a motor-cycle,Bangladesh,event,road accident
3229,Road crash kills one,2019-03-26 08:46:41,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-4,shewrapara,mirpur,1,0,"bus, motorcycle",bus hit a motorcycle,Bangladesh,event,road accident
3230,Road crash kills one,2019-03-26 08:46:41,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-3,shewrapara,mirpur,1,0,bus and motorcycle,bus hitting a motorcycle,Bangladesh,event,road accident
3231,Road crash kills one,2019-03-26 08:46:41,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-2,shewrapara,mirpur,1,0,"bus, motorcycle",,Bangladesh,event,road accident
3232,Road crash kills one,2019-03-26 08:46:41,https://en.prothomalo.com/bangladesh/Road-crash-kills-one,shewrapara area of mirpur,dhaka,1,0,bus and motorcycle,bus hit a motorcycle,Bangladesh,event,road accident
3233,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-accident,jhutpattai of mirpur-10,mirpur,1,0,car,speedy car hit him while he was crossing road,Bangladesh,event,road accident
3234,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash-7,jhutpattai of mirpur-10,mirpur,1,0,car,speedy car hit him while he was crossing road,Bangladesh,event,road accident
3235,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash-9,jhutpattai of mirpur-10,dhaka,1,0,car,speedy car hit him while he was crossing road,Bangladesh,event,road accident
3236,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash-5,jhutpattai of mirpur-10,mirpur,1,0,car,speedy car hit him while crossing road,Bangladesh,event,road accident
3237,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash-3,jhutpattai of mirpur-10,mirpur-10,1,0,car,speedy car hit him while he was crossing road,Bangladesh,event,road accident
3238,Man killed in city road crash,2019-05-19 21:48:41,https://en.prothomalo.com/bangladesh/Man-killed-in-city-road-crash,jhutpattai of mirpur-10,dhaka,1,0,car,speedy car hit him while he was crossing road,Bangladesh,event,road accident
3244,20 sustain burn injuries in microbus cylinder blast,2019-06-26 11:44:51,https://en.prothomalo.com/bangladesh/20-burned-in-microbus-cylinder-blast,patiya,chattogram,0,20,"microbus, covered van",gas cylinder blast after collision,Bangladesh,event,road accident
3245,At least 6 killed in road crashes,2019-07-31 15:15:17,https://en.prothomalo.com/bangladesh/At-least-6-killed-in-road-crashes,dhaka's dhamrai upazila and cumilla's chouddagram upazila,"dhaka, cumilla",6,0,,,Bangladesh,event,road accident
3246,Patharghata wall collapse victim families in shock,2019-11-17 13:40:12,https://en.prothomalo.com/bangladesh/Patharghata-wall-collapse-victim-families-in-shock,patharghata,chattogram,7,0,,gas pipeline explosion and wall collapse,Bangladesh,event,road accident
3255,3 motorcyclists killed in road crash,2019-05-26 10:07:16,https://en.prothomalo.com/bangladesh/3-motorcyclists-killed-in-road-crash-2,dhaka-chattogram highway in duk bangalow area of mirsharai upazila,chattogram,3,0,motorbike and truck,motorbike crashed into a truck,Bangladesh,event,road accident
3256,3 motorcyclists killed in road crash,2019-05-26 10:07:16,https://en.prothomalo.com/bangladesh/3-motorcyclists-killed-in-road-crash,duk bangalow area of mirsharai upazila,chattogram,3,0,"motorcycle, truck",crash,Bangladesh,event,road accident
3258,Couple killed in Meherpur wall collapse,2019-03-16 21:53:38,,harirampur village,meherpur,2,0,,collapsed wall,Bangladesh,event,road accident
3259,City road crash kills one,2019-03-28 09:47:23,,karwan bazar,dhaka,1,0,private car,vehicle hitting pedestrian,Bangladesh,event,road accident
3262,3 killed in Satkhira road accident,2015-05-24 14:00:58,https://en.prothomalo.com/bangladesh/3-killed-in-Satkhira-road-accident,subhasini area of tala upazila,satkhira,3,25,passenger bus,plunged into a roadside ditch,Bangladesh,event,road accident
3265,Govt not to allow anyone to create issues over death of ex-major: Quader,2020-08-08 10:06:34,https://en.prothomalo.com/bangladesh/government/govt-not-to-allow-anyone-to-create-issues-over-death-of-ex-major-quader,,,0,0,,,Bangladesh,event,road accident
3266,No punishment to traffickers encourage criminals,2020-06-06 18:27:11,https://en.prothomalo.com/opinion/editorial/no-punishment-to-traffickers-encourage-criminals,"libya, thailand, malaysia",,26,0,,human trafficking,Bangladesh,event,road accident
3267,Woman killed as two cars collide in Dhaka,2019-05-18 12:57:54,https://en.prothomalo.com/bangladesh/Woman-killed-as-two-cars-collide-in-Dhaka,bata signal intersection,dhaka,1,5,"uber car, private car",collision between uber car and private car,Bangladesh,event,road accident
3268,"Parvez’s death: Driver, conductor remanded",2019-09-21 21:45:45,https://en.prothomalo.com/bangladesh/Parvez’s-death-Driver-conductor-remanded,"east-west medical college in turag area, uttara sector 9","dhaka, narayanganj, shariatpur",2,1,bus,conductor driving the bus instead of the driver,Bangladesh,event,road accident
3270,"Bus hits stationary truck, kills 4",2019-09-21 17:38:39,https://en.prothomalo.com/bangladesh/Bus-hits-stationary-truck-killing-4,dhaka-khulna highway at sonashur,gopalganj,4,0,"passenger bus, truck",hit a stationary truck,Bangladesh,event,road accident
3271,Road crashes kill 3 in Chandpur,2019-05-30 00:09:10,https://en.prothomalo.com/bangladesh/Road-crashes-kill-3-in-Chandpur,sadar and kachua upazilas,chandpur,3,0,,,Bangladesh,event,road accident
3273,College girl killed in road crash,2019-05-24 00:12:24,https://en.prothomalo.com/bangladesh/College-girl-killed-in-road-crash,bansherbada bazar,ishwardi,1,1,truck and motorcycle,collision between a truck and a motorcycle,Bangladesh,event,road accident
3276,"Father, daughter killed in road crash",2019-03-31 17:18:56,https://en.prothomalo.com/bangladesh/Father-daughter-killed-in-road-crash,chattogram-kaptai road in rangunia upazila,chattogram,2,2,"auto-rickshaw, jeep",collision,Bangladesh,event,road accident
3279,3 killed as PBI pickup ploughs through RMG workers,2019-06-03 22:30:50,https://en.prothomalo.com/bangladesh/3-killed-as-PBI-pickup-ploughs-through-RMG-workers,chandul,cumilla,3,9,police bureau of investigation (pbi) vehicle,ploughed through them,Bangladesh,event,road accident
3280,5 killed in road crashes in 2 districts,2019-10-25 14:03:38,https://en.prothomalo.com/bangladesh/5-killed-in-road-crashes-in-2-districts,bhuiyagati kamarpara bridge,sirajganj,5,13,truck and rickshaw-van,truck rammed a rickshaw-van,Bangladesh,event,road accident
3284,15 killed in separate road crashes,2019-06-02 14:46:48,https://en.prothomalo.com/bangladesh/15-killed-in-separate-road-crashes,sirajganj and sunamganj,sirajganj and sunamganj,15,23,,separate road accidents,Bangladesh,event,road accident
3290,4 killed in Noakhali road crash,2019-07-28 13:28:38,https://en.prothomalo.com/bangladesh/4-killed-in-Noakhali-road-crash-2,chowmuhani bazar,noakhali,4,11,pickup van,overturned,Bangladesh,event,road accident
3298,Dhaka road crash kills woman,2019-06-08 19:29:06,https://en.prothomalo.com/bangladesh/Dhaka-road-crash-kills-woman,signboard area,jatrabari,1,0,passenger bus,hit by a passenger bus,Bangladesh,event,road accident
3300,4 killed in Mymensingh road crash,2019-04-20 15:29:18,https://en.prothomalo.com/bangladesh/accident/eclheqfs2p,mymensingh-haluaghat road in alalpur area,mymensingh,4,2,truck and auto-rickshaw,head-on collision,Bangladesh,event,road accident
3301,"Gas cylinder blast burns mother, 3 children",2019-04-07 10:05:18,,kadamtali area,capital city,0,4,gas cylinder,gas cylinder blast,Bangladesh,event,road accident
3302,Transport leaders seek an end to police harassment,2019-07-23 20:07:02,https://en.prothomalo.com/bangladesh/Transport-leaders-seek-an-end-to-police-harassment,roads,,0,0,,"disorder, corruption and harassment by police",Bangladesh,event,road accident
3304,Road crash kills medical student,2019-02-13 13:34:38,https://en.prothomalo.com/bangladesh/Road-crash-kills-medical-student,rupsha bridge bypass road,"labanchora, khulna",1,0,motorbike,unknown vehicle hit a motorbike,Bangladesh,event,road accident
3305,2 killed in Khulna road crash,2019-04-15 22:36:57,https://en.prothomalo.com/bangladesh/2-killed-in-Khulna-road-crash,rupsa-khan jahan ali bridge,khulna,2,9,"truck, pickup",truck hit pickup from behind while trying to overtake,Bangladesh,event,road accident
3308,2 die as trawler sinks in Buriganga,2019-04-01 10:19:46,https://en.prothomalo.com/bangladesh/2-die-as-trawler-sinks-in-Buriganga,river buriganga,keraniganj,2,0,trawler,capsized,Bangladesh,event,road accident
3309,Probe report over Rajib’s death 8 July,2019-05-22 16:22:10,https://en.prothomalo.com/bangladesh/Probe-report-over-Rajib’s-death-8-July,sonargaon crossing,dhaka,1,0,two buses,coming between two buses,Bangladesh,event,road accident
3313,N’ganj gas cylinder blast death toll rises to 3,2019-04-11 19:35:42,https://en.prothomalo.com/bangladesh/N’ganj-gas-cylinder-blast-death-toll-rises-to-3,fatullah,narayanganj,3,0,gas cylinder,gas cylinder blast,Bangladesh,event,road accident
3316,6 killed as bus hits roadside tree,2019-05-18 13:14:29,https://en.prothomalo.com/bangladesh/5-killed-as-bus-hits-roadside-tree,bagerhat-mawa highway in kakdanga area,bagerhat,6,12,bus,bus hit a tree,Bangladesh,event,road accident
3317,Manikganj road crash kills one,2019-03-14 10:41:45,https://en.prothomalo.com/bangladesh/Manikganj-road-crash-kills-one,dhaka-aricha highway at dhulondi,manikganj,1,15,bus,plunged into a roadside ditch,Bangladesh,event,road accident
3318,Road clash kills female medical student,2019-02-14 10:55:14,,central bus terminal,pabna,1,0,,,Bangladesh,event,road accident
3321,Prothom Alo news editor survives traffic accident,2015-05-16 00:03:36,https://en.prothomalo.com/bangladesh/Prothom-Alo-news-editor-escapes-car-accident,capital city,dhaka,0,0,"car, bus",bus rammed into car,Bangladesh,event,road accident
3323,Initiatives to amend Road Transport Act will 'make it weaker',2021-07-30 13:01:35,https://en.prothomalo.com/bangladesh/initiatives-to-amend-road-transport-act-will-make-it-weaker,road,dhaka,0,0,,lack of discipline in the road transport sector,Bangladesh,event,road accident
3324,Bus-truck collision leaves 4 dead,2019-05-04 15:01:53,https://en.prothomalo.com/bangladesh/Bus-truck-collision-leaves-4-dead,aladipur jamai pagoler mazar area,rajbari sadar upazila,4,15,bus and a truck,head-on collision,Bangladesh,event,road accident
3327,Thakurgaon road crash death rises to 10,2019-08-03 11:43:27,https://en.prothomalo.com/bangladesh/Thakurgaon-road-crash-death-rises-to-10,thakurgaon-dhaka highway at borokhochabari,sadar upazila,10,0,buses,head-on collision,Bangladesh,event,road accident
3330,Rajshahi road crash kills bi-cyclist,2019-02-26 14:59:53,,rajshahi-chapainawabganj highway in godagari municipal area,godagari,1,0,"bus, bi-cycle",bus rammed bicycle,Bangladesh,event,road accident
3332,"Road crash kills another college student, sparks protest",2019-04-05 21:14:57,,mostafa majir intersection of rampura-demra road,dhaka,1,0,,,Bangladesh,event,road accident
3336,"Mother, daughter killed in road crash",2019-03-22 09:33:48,https://en.prothomalo.com/bangladesh/Mother-daughter-killed-in-road-crash-3,dhaka-chattogram highway at mallikpara,sonargaon,2,0,"bus, motorbike",bus rammed a motorbike,Bangladesh,event,road accident
3337,"Mother, daughter killed in road crash",2019-03-22 09:33:48,https://en.prothomalo.com/bangladesh/Mother-daughter-killed-in-road-crash-2,"mallikpara, dhaka-chattogram highway",sonargaon,2,0,"bus, motorbike",bus rammed a motorbike,Bangladesh,event,road accident
3338,"Mother, daughter killed in road crash",2019-03-22 09:33:48,https://en.prothomalo.com/bangladesh/Mother-daughter-killed-in-road-crash,mallikpara,sonargaon,2,0,"bus, motorbike",bus rammed a motorbike,Bangladesh,event,road accident
3339,5 killed as bus hits auto-rickshaw,2019-04-28 12:06:19,https://en.prothomalo.com/bangladesh/5-killed-as-bus-hits-auto-rickshaw,shahrasti upazila,chandpur,5,0,"bus, auto-rickshaw",bus hit an auto-rickshaw,Bangladesh,event,road accident
3341,Driver detained for Brac University student death,2019-04-27 19:38:55,https://en.prothomalo.com/bangladesh/Driver-detained-for-Brac-University-student-death,savar,dhaka,1,0,covered van,vehicle collision,Bangladesh,event,road accident
3346,Transport workers' leader killed in road crash,2019-02-06 16:23:35,https://en.prothomalo.com/bangladesh/Transport-workers-leader-killed-in-road-crash,naudapara amchattar,rajshahi,1,0,road vehicle,road accident,Bangladesh,event,road accident
3348,2 killed in Natore road crashes,2019-04-10 15:42:04,https://en.prothomalo.com/bangladesh/2-killed-in-Natore-road-crashes,sadar and baraigram upazilas,natore,2,10,,,Bangladesh,event,road accident
3354,Gaibandha road crash kills 5,2019-04-06 18:34:04,https://en.prothomalo.com/bangladesh/Gaibandha-road-crash-kills-5,dhaka-rangpur highway in jummar ghar area in gobindaganj upazila,gaibandha,5,15,bus,overturned,Bangladesh,event,road accident
3357,2 killed in Narayanganj road crash,2019-02-27 13:58:59,https://en.prothomalo.com/bangladesh/2-killed-in-road-crash-8,dhaka-narayanganj road in fatullah,narayanganj,2,6,"bus, human hauler",bus hit a human hauler,Bangladesh,event,road accident
3359,BGB man killed in road crash,2019-02-09 00:19:25,https://en.prothomalo.com/bangladesh/BGB-man-killed-in-road-crash,shahjadpur upazila,sirajganj,1,0,"motorcycle, truck",truck hit motorcycle,Bangladesh,event,road accident
3361,2 students killed in Tangail road crash,2019-04-14 18:22:42,https://en.prothomalo.com/bangladesh/2-students-killed-in-Tangail-road-crash,tangail-bhuapur road at adabari,kalihati,2,0,"motorcycle, truck",truck crashed into their motorcycle,Bangladesh,event,road accident
3363,Road crash kills one,2019-02-20 13:47:21,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-5,automills area,natore,1,6,road crash,,Bangladesh,event,road accident
3364,Road crash kills one,2019-02-20 13:47:21,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-4,automills area,natore,1,6,,road crash,Bangladesh,event,road accident
3365,Road crash kills one,2019-02-20 13:47:21,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-3,automills area,natore,1,6,road vehicle,road crash,Bangladesh,event,road accident
3366,Road crash kills one,2019-02-20 13:47:21,https://en.prothomalo.com/bangladesh/Road-crash-kills-one-2,automills area,natore,1,6,,,Bangladesh,event,road accident
3367,Road crash kills one,2019-02-20 13:47:21,https://en.prothomalo.com/bangladesh/Road-crash-kills-one,automills area,natore,1,6,,road crash,Bangladesh,event,road accident
3369,4 of a family killed in road crash,2016-01-26 11:27:45,https://en.prothomalo.com/bangladesh/4-family-members-killed-in-Daudkandi-road-accident,tamta area of daudkandi upazila,daudkandi,4,2,bus and private car,collision between a bus and a private car,Bangladesh,event,road accident
3371,"2 killed, 2 injured in city road crash",2019-04-23 13:04:04,https://en.prothomalo.com/bangladesh/2-killed-2-injured-in-Shahbagh-road-crash,matsya bhaban intersection,shahbagh,2,2,"two buses, two rickshaws, and a car",collision among vehicles,Bangladesh,event,road accident
3375,Nine killed as bus hits wedding microbus,2019-11-22 22:43:19,https://en.prothomalo.com/bangladesh/Eight-killed-as-bus-hits-wedding-microbus,sreenagar upazila,munshiganj,9,0,,reckless driving,Bangladesh,event,road accident
3376,2 sisters killed as bus plunged into roadside canal,2019-05-01 18:23:05,https://en.prothomalo.com/bangladesh/2-sisters-killed-as-bus-plunged-into-roadside,sylhet-tamabil highway at katagang area,sylhet,2,15,passenger bus,fell into a roadside canal,Bangladesh,event,road accident
3377,Noakhali road crash kills 4,2019-01-21 16:56:00,https://en.prothomalo.com/bangladesh/Noakhali-road-crash-kills-4,begumganj-sonaimuri road,noakhali,4,2,"bus, auto-rickshaw",collision,Bangladesh,event,road accident
3378,Workers block Dhaka-Aricha highway over death rumour of RMG worker,2019-01-15 08:42:23,https://en.prothomalo.com/bangladesh/Workers-blocks-Dhaka-Aricha-highway-over-death,dhaka-aricha highway,dhaka,0,0,,rumour over death in a road accident,Bangladesh,event,road accident
3379,2 run over by truck near Dhaka airport,2019-01-28 09:42:04,https://en.prothomalo.com/bangladesh/2-run-over-by-truck-near-Dhaka-airport,intersection in front of hazrat shahjalal international airport,dhaka,2,0,truck,running truck hit them,Bangladesh,event,road accident
3381,"Father, son killed in road crash",2019-02-23 14:33:32,https://en.prothomalo.com/bangladesh/accident/father-son-killed-in-road-crash-2,kadamtoli,chattogram,2,0,"motorbike, covered van",covered van rammed the motorbike,Bangladesh,event,road accident
3382,"Father, son killed in road crash",2019-02-23 14:33:32,https://en.prothomalo.com/bangladesh/accident/father-son-killed-in-road-crash,"kadamtoli, in front of dhonialapara mosque",chattogram,2,0,"motorbike, covered van",covered van rammed the motorbike,Bangladesh,event,road accident
3383,"Father, son killed in road crash",2019-02-23 14:33:32,https://en.prothomalo.com/bangladesh/Father-son-killed-in-road-crash,kadamtoli,chattogram,2,0,"motorbike, covered van",covered van rammed the motorbike,Bangladesh,event,road accident
3384,Dhaka court lift collapse injures 8 including judges,2019-03-07 16:12:12,https://en.prothomalo.com/bangladesh/Dhaka-Court-lift-collapse-injures-10-including,dhaka district and session judge court,dhaka,0,10,elevator,elevator collapse,Bangladesh,event,road accident
3386,BRAC University student killed as covered van hits bike,2019-04-25 21:43:49,https://en.prothomalo.com/bangladesh/BRAC-University-student-killed-as-covered-van-hits,sher-e-bangla nagar,mymenshing,1,0,"motorcycle, covered van",covered van hit the motorcycle,Bangladesh,event,road accident
3387,2 children killed in Kushtia mud wall collapse,2019-02-07 16:31:48,https://en.prothomalo.com/bangladesh/2-children-killed-in-Kushtia-mud-wall-collapse,ghordoho khal para,kushtia,2,1,,mud collapsed on them while playing,Bangladesh,event,road accident
3389,Pay Tk 1m to Rajib’s brothers: SC to bus company,2019-10-13 13:08:24,,banglamotor area,dhaka,1,0,bus,stuck between two buses,Bangladesh,event,road accident
3390,2 minor girls die in wall collapse,2019-01-08 15:14:11,,gongabar kandi village,kushtia,2,0,,wall collapse,Bangladesh,event,road accident
3391,3 workers killed in road crash,2019-05-15 10:44:26,https://en.prothomalo.com/bangladesh/3-workers-killed-in-road-crash-2,piarson,gomastapur,3,6,human hauler,overturned,Bangladesh,event,road accident
3395,3 of a family killed in road crash,2019-01-20 19:32:27,https://en.prothomalo.com/bangladesh/3-of-a-family-killed-in-road-crash-2,bashbaria,natore,3,0,"truck, motorbike",truck hitting motorbike,Bangladesh,event,road accident
3396,3 of a family killed in road crash,2019-01-20 19:32:27,https://en.prothomalo.com/bangladesh/3-of-a-family-killed-in-road-crash,bashbaria,natore,3,0,"truck, motorbike",truck hitting a motorbike,Bangladesh,event,road accident
3397,Road crash kills minor boy,2019-01-06 12:25:46,https://en.prothomalo.com/bangladesh/Road-crash-kills-minor-boy,hogla in gomostapur upazila,gomostapur,1,0,minibus,hit by a minibus while crossing the road,Bangladesh,event,road accident
3399,Cumilla road crash kills 3,2019-02-27 16:22:26,https://en.prothomalo.com/bangladesh/accident/cumilla-road-crash-kills-3,dhaka-chittagong highway in kutumbapur area,cumilla,3,0,covered van,driver lost control over the steering and ran over the pedestrians,Bangladesh,event,road accident
3400,Cumilla road crash kills 3,2019-02-27 16:22:26,https://en.prothomalo.com/bangladesh/Cumilla-road-crash-kills-3,dhaka-chittagong highway in kutumbapur area,cumilla,3,0,covered van,driver lost control over the steering and ran over the pedestrians,Bangladesh,event,road accident
3401,Bike crash claims lives of 2 schoolboys,2019-04-05 23:55:37,https://en.prothomalo.com/bangladesh/Bike-crash-claims-lives-of-2-schoolboys,khilgaon flyover,dhaka,2,0,motorcycle,,Bangladesh,event,road accident
3412,Bus driver remanded over Abrar’s death,2019-03-20 19:37:35,https://en.prothomalo.com/bangladesh/Bus-driver-remanded-over-Abrar’s-death,pragati sarani,dhaka,1,0,bus,,Bangladesh,event,road accident
3413,Shujan branch president among 2 killed in road crash,2019-02-23 14:34:46,https://en.prothomalo.com/bangladesh/Shujan-branch-president-among-2-killed-in-road,link road of the eastern side of bangabandhu bridge,tangail,2,5,vehicle and microbus,vehicle hit a microbus,Bangladesh,event,road accident
3414,Narsingdi road crash kills 2 motorcyclists,2019-02-10 20:59:23,https://en.prothomalo.com/bangladesh/Narsingdi-road-crash-kills-2-motorcyclists,dhaka-sylhet highway in paolanpur area,narsingdi,2,0,"motorbikes, covered van",covered van hit their motorbike,Bangladesh,event,road accident
3416,Biker killed in road crash,2019-01-15 12:18:26,https://en.prothomalo.com/bangladesh/Biker-killed-in-road-crash,chhoto khochabari area in sadar upazila,thakurgaon,1,1,"motorcycle, bus",motorcycle slipped and bus ran over the motorcyclist,Bangladesh,event,road accident
3418,Man killed in road crash,2018-12-26 13:27:13,https://en.prothomalo.com/bangladesh/Man-killed-in-road-crash-2,rajendrapur intersection,gazipur,1,1,"truck, covered-van",,Bangladesh,event,road accident
3419,Man killed in road crash,2018-12-26 13:27:13,https://en.prothomalo.com/bangladesh/Man-killed-in-road-crash-3,rajendrapur intersection,gazipur,1,1,"truck, covered-van",truck rammed a covered-van,Bangladesh,event,road accident
3420,Man killed in road crash,2018-12-26 13:27:13,https://en.prothomalo.com/bangladesh/Man-killed-in-road-crash,rajendrapur intersection,gazipur,1,1,"truck, covered-van",truck rammed a covered-van,Bangladesh,event,road accident
3423,6 killed in separate road crashes,2019-05-02 10:23:37,https://en.prothomalo.com/bangladesh/6-killed-in-separate-road-crashes,mirganj,bagha,3,0,bus,,Bangladesh,event,road accident
3424,HC order on Rajib’s compensation deferred,2019-05-23 21:38:54,https://en.prothomalo.com/bangladesh/HC-order-on-Rajib’s-compensation-deferred,,,0,0,,,Bangladesh,event,road accident
3425,25 medical students injured in road crash,2018-12-09 11:55:58,https://en.prothomalo.com/bangladesh/25-medical-students-injured-in-road-crash,mainamati cantonment,cumilla,0,25,private medical college bus (implied),road crash,Bangladesh,event,road accident
3426,Illegal three-wheelers making highways more dangerous,2019-09-19 12:24:31,https://en.prothomalo.com/bangladesh/Illegal-three-wheelers-making-highways-more,benapole-jashore and navaron-satkhira highways,jashore,0,0,three-wheelers,illegal operation of three-wheelers,Bangladesh,event,road accident
3427,Gopalganj bus plunge kills 2,2019-02-05 14:01:39,https://en.prothomalo.com/bangladesh/Gopalganj-bus-plunge-kills-2,sadar upazila,gopalganj,2,20,bus,plunged into a roadside ditch,Bangladesh,event,road accident
3428,6 killed as bus overturns in Cumilla,2019-02-17 14:10:15,https://en.prothomalo.com/bangladesh/6-killed-as-bus-overturns-in-Cumilla,dhaka-chattogram highway in jagonnath digi area,cumilla,6,8,passenger bus,turned turtle,Bangladesh,event,road accident
3429,Bangladeshi killed in Qatar road crash,2019-02-16 23:56:35,https://en.prothomalo.com/bangladesh/Bangladeshi-killed-in-Qatar-road-crash,doha,chattogram,1,0,car,speeding car ran over,Bangladesh,event,road accident
3432,Road crashes claim four more lives,2019-06-10 08:54:30,https://en.prothomalo.com/bangladesh/Road-crashes-claim-four-more-lives-2,feni and lakshmipur districts,feni and lakshmipur,4,0,,,Bangladesh,event,road accident
3433,Road crashes claim four more lives,2019-06-10 08:54:30,https://en.prothomalo.com/bangladesh/Road-crashes-claim-four-more-lives,feni and lakshmipur districts,"feni, lakshmipur",4,0,,,Bangladesh,event,road accident
3434,"Motorcyclist, pillion rider killed in road crash",2019-01-18 11:25:46,https://en.prothomalo.com/bangladesh/Motorcyclist-pillion-rider-killed-in-road-crash-2,talora-jamdar road in kalipara village,kahalu upazila in bogura,2,0,motorcycle,hit a tree,Bangladesh,event,road accident
3435,"Motorcyclist, pillion rider killed in road crash",2019-01-18 11:25:46,https://en.prothomalo.com/bangladesh/Motorcyclist-pillion-rider-killed-in-road-crash,talora-jamdar road in kalipara village,kahalu upazila,2,0,motorcycle,hit a tree,Bangladesh,event,road accident
3436,PM Hasina consoles Abrar’s parents,2019-03-23 00:11:18,https://en.prothomalo.com/bangladesh/PM-Hasina-consoles-Abrar’s-parents,ganabhaban,dhaka,1,0,,road accident,Bangladesh,event,road accident
